split,label,president_dir,filename,source_path,output_path,char_count
train,democrat,John_F_Kennedy,"January 24, 1961__executive-order-10916inspection-of-income-estate-and-gift-tax-returns-by-the-senate-committee-on-government-operations.txt","John_F_Kennedy/January 24, 1961__executive-order-10916inspection-of-income-estate-and-gift-tax-returns-by-the-senate-committee-on-government-operations.txt","train/democrat/John_F_Kennedy/January 24, 1961__executive-order-10916inspection-of-income-estate-and-gift-tax-returns-by-the-senate-committee-on-government-operations.txt",1022
train,democrat,Franklin_D_Roosevelt,"March 24, 1937__executive-order-7584designating-ajo-arizona-as-a-customs-port-of-entry.txt","Franklin_D_Roosevelt/March 24, 1937__executive-order-7584designating-ajo-arizona-as-a-customs-port-of-entry.txt","train/democrat/Franklin_D_Roosevelt/March 24, 1937__executive-order-7584designating-ajo-arizona-as-a-customs-port-of-entry.txt",350
train,democrat,Harry_S_Truman,"June 18, 1945__executive-order-9574authorizing-the-secretary-of-war-to-take-possession-of-and-operate-the-plants-and-facilities-of-the-diamond-alkali-compa.txt","Harry_S_Truman/June 18, 1945__executive-order-9574authorizing-the-secretary-of-war-to-take-possession-of-and-operate-the-plants-and-facilities-of-the-diamond-alkali-compa.txt","train/democrat/Harry_S_Truman/June 18, 1945__executive-order-9574authorizing-the-secretary-of-war-to-take-possession-of-and-operate-the-plants-and-facilities-of-the-diamond-alkali-compa.txt",3480
train,democrat,Franklin_D_Roosevelt,"April 10, 1935__executive-order-7008exemption-of-milton-l-leffler-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/April 10, 1935__executive-order-7008exemption-of-milton-l-leffler-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/April 10, 1935__executive-order-7008exemption-of-milton-l-leffler-from-compulsory-retirement-for-age.txt",1225
train,democrat,Franklin_D_Roosevelt,"December 30, 1933__executive-order-6543-ncode-of-fair-competition-for-the-american-match-industry.txt","Franklin_D_Roosevelt/December 30, 1933__executive-order-6543-ncode-of-fair-competition-for-the-american-match-industry.txt","train/democrat/Franklin_D_Roosevelt/December 30, 1933__executive-order-6543-ncode-of-fair-competition-for-the-american-match-industry.txt",1175
train,democrat,William_J_Clinton,"April 30, 1999__executive-order-13121blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the-republic-of-serbia.txt","William_J_Clinton/April 30, 1999__executive-order-13121blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the-republic-of-serbia.txt","train/democrat/William_J_Clinton/April 30, 1999__executive-order-13121blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the-republic-of-serbia.txt",5237
train,democrat,Franklin_D_Roosevelt,"September 16, 1937__executive-order-7776modification-of-executive-order-no-7709-a-of-september-16-1937-abolishing-the-national-emergency-council.txt","Franklin_D_Roosevelt/September 16, 1937__executive-order-7776modification-of-executive-order-no-7709-a-of-september-16-1937-abolishing-the-national-emergency-council.txt","train/democrat/Franklin_D_Roosevelt/September 16, 1937__executive-order-7776modification-of-executive-order-no-7709-a-of-september-16-1937-abolishing-the-national-emergency-council.txt",632
train,democrat,Franklin_D_Roosevelt,"July 03, 1933__executive-order-6190partial-revocation-of-withdrawal-of-certain-lands-for-transmission-line-right-of-way.txt","Franklin_D_Roosevelt/July 03, 1933__executive-order-6190partial-revocation-of-withdrawal-of-certain-lands-for-transmission-line-right-of-way.txt","train/democrat/Franklin_D_Roosevelt/July 03, 1933__executive-order-6190partial-revocation-of-withdrawal-of-certain-lands-for-transmission-line-right-of-way.txt",1364
train,democrat,Jimmy_Carter,"October 03, 1980__executive-order-12244cuban-and-haitian-refugees.txt","Jimmy_Carter/October 03, 1980__executive-order-12244cuban-and-haitian-refugees.txt","train/democrat/Jimmy_Carter/October 03, 1980__executive-order-12244cuban-and-haitian-refugees.txt",1528
train,democrat,Franklin_D_Roosevelt,"November 14, 1934__executive-order-6903amending-code-of-fair-competition-for-the-alcoholic-beverages-importing-industry.txt","Franklin_D_Roosevelt/November 14, 1934__executive-order-6903amending-code-of-fair-competition-for-the-alcoholic-beverages-importing-industry.txt","train/democrat/Franklin_D_Roosevelt/November 14, 1934__executive-order-6903amending-code-of-fair-competition-for-the-alcoholic-beverages-importing-industry.txt",833
train,democrat,Harry_S_Truman,"November 30, 1945__executive-order-9663creating-an-emergency-board-to-investigate-a-dispute-between-the-texas-new-orleans-railway-company-and-hospital-associat.txt","Harry_S_Truman/November 30, 1945__executive-order-9663creating-an-emergency-board-to-investigate-a-dispute-between-the-texas-new-orleans-railway-company-and-hospital-associat.txt","train/democrat/Harry_S_Truman/November 30, 1945__executive-order-9663creating-an-emergency-board-to-investigate-a-dispute-between-the-texas-new-orleans-railway-company-and-hospital-associat.txt",2086
train,democrat,Harry_S_Truman,"May 21, 1952__executive-order-10353authorizing-the-appointment-of-mrs-cressie-e-coffelt-to-a-competitive-position-without-regard-to-the-civil-service-rule.txt","Harry_S_Truman/May 21, 1952__executive-order-10353authorizing-the-appointment-of-mrs-cressie-e-coffelt-to-a-competitive-position-without-regard-to-the-civil-service-rule.txt","train/democrat/Harry_S_Truman/May 21, 1952__executive-order-10353authorizing-the-appointment-of-mrs-cressie-e-coffelt-to-a-competitive-position-without-regard-to-the-civil-service-rule.txt",332
train,democrat,Harry_S_Truman,"February 05, 1946__executive-order-9693possession-control-and-operation-of-the-transportation-systems-plants-and-facilities-of-certain-towing-and-transportatio.txt","Harry_S_Truman/February 05, 1946__executive-order-9693possession-control-and-operation-of-the-transportation-systems-plants-and-facilities-of-certain-towing-and-transportatio.txt","train/democrat/Harry_S_Truman/February 05, 1946__executive-order-9693possession-control-and-operation-of-the-transportation-systems-plants-and-facilities-of-certain-towing-and-transportatio.txt",10840
train,democrat,Franklin_D_Roosevelt,"February 26, 1942__executive-order-9077exemption-of-gustave-r-a-elmgren-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/February 26, 1942__executive-order-9077exemption-of-gustave-r-a-elmgren-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/February 26, 1942__executive-order-9077exemption-of-gustave-r-a-elmgren-from-compulsory-retirement-for-age.txt",667
train,democrat,Barack_Obama,"February 05, 2009__executive-order-13500further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council.txt","Barack_Obama/February 05, 2009__executive-order-13500further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council.txt","train/democrat/Barack_Obama/February 05, 2009__executive-order-13500further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council.txt",772
train,democrat,Franklin_D_Roosevelt,"May 28, 1940__executive-order-8424amending-paragraph-7-subdivision-i-schedule-a-of-the-civil-service-rules.txt","Franklin_D_Roosevelt/May 28, 1940__executive-order-8424amending-paragraph-7-subdivision-i-schedule-a-of-the-civil-service-rules.txt","train/democrat/Franklin_D_Roosevelt/May 28, 1940__executive-order-8424amending-paragraph-7-subdivision-i-schedule-a-of-the-civil-service-rules.txt",968
train,democrat,Lyndon_B_Johnson,"March 25, 1967__executive-order-11337inspection-of-income-excess-profits-estate-and-gift-tax-returns-by-the-senate-committee-on-government-operations.txt","Lyndon_B_Johnson/March 25, 1967__executive-order-11337inspection-of-income-excess-profits-estate-and-gift-tax-returns-by-the-senate-committee-on-government-operations.txt","train/democrat/Lyndon_B_Johnson/March 25, 1967__executive-order-11337inspection-of-income-excess-profits-estate-and-gift-tax-returns-by-the-senate-committee-on-government-operations.txt",1066
train,democrat,Harry_S_Truman,"June 30, 1945__executive-order-9578approving-regulations-of-the-civil-service-commission-under-the-federal-employees-pay-act-of-1945.txt","Harry_S_Truman/June 30, 1945__executive-order-9578approving-regulations-of-the-civil-service-commission-under-the-federal-employees-pay-act-of-1945.txt","train/democrat/Harry_S_Truman/June 30, 1945__executive-order-9578approving-regulations-of-the-civil-service-commission-under-the-federal-employees-pay-act-of-1945.txt",30943
train,democrat,Lyndon_B_Johnson,"October 06, 1966__executive-order-11309amending-executive-order-no-11215-relating-to-the-presidents-commission-on-the-patent-system.txt","Lyndon_B_Johnson/October 06, 1966__executive-order-11309amending-executive-order-no-11215-relating-to-the-presidents-commission-on-the-patent-system.txt","train/democrat/Lyndon_B_Johnson/October 06, 1966__executive-order-11309amending-executive-order-no-11215-relating-to-the-presidents-commission-on-the-patent-system.txt",312
train,democrat,Harry_S_Truman,"September 25, 1951__executive-order-10291establishing-an-airspace-reservation-over-the-savannah-river-plant-of-the-united-states-atomic-energy-commission.txt","Harry_S_Truman/September 25, 1951__executive-order-10291establishing-an-airspace-reservation-over-the-savannah-river-plant-of-the-united-states-atomic-energy-commission.txt","train/democrat/Harry_S_Truman/September 25, 1951__executive-order-10291establishing-an-airspace-reservation-over-the-savannah-river-plant-of-the-united-states-atomic-energy-commission.txt",1547
train,democrat,Woodrow_Wilson,"December 15, 1915__executive-order-2285requiring-american-citizens-traveling-abroad-to-procure-passports.txt","Woodrow_Wilson/December 15, 1915__executive-order-2285requiring-american-citizens-traveling-abroad-to-procure-passports.txt","train/democrat/Woodrow_Wilson/December 15, 1915__executive-order-2285requiring-american-citizens-traveling-abroad-to-procure-passports.txt",1425
train,democrat,Harry_S_Truman,"August 16, 1951__executive-order-10279inspection-of-income-excess-profits-declared-value-excess-profits-capital-stock-estate-and-gift-tax-returns-for-any-per.txt","Harry_S_Truman/August 16, 1951__executive-order-10279inspection-of-income-excess-profits-declared-value-excess-profits-capital-stock-estate-and-gift-tax-returns-for-any-per.txt","train/democrat/Harry_S_Truman/August 16, 1951__executive-order-10279inspection-of-income-excess-profits-declared-value-excess-profits-capital-stock-estate-and-gift-tax-returns-for-any-per.txt",950
train,democrat,Franklin_D_Roosevelt,"October 24, 1936__executive-order-7477exemption-of-william-mcneir-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/October 24, 1936__executive-order-7477exemption-of-william-mcneir-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/October 24, 1936__executive-order-7477exemption-of-william-mcneir-from-compulsory-retirement-for-age.txt",1258
train,democrat,Lyndon_B_Johnson,"July 23, 1965__executive-order-11236establishing-the-presidents-commission-on-law-enforcement-and-administration-of-justice.txt","Lyndon_B_Johnson/July 23, 1965__executive-order-11236establishing-the-presidents-commission-on-law-enforcement-and-administration-of-justice.txt","train/democrat/Lyndon_B_Johnson/July 23, 1965__executive-order-11236establishing-the-presidents-commission-on-law-enforcement-and-administration-of-justice.txt",5088
train,democrat,Harry_S_Truman,"June 05, 1945__executive-order-9564authorizing-the-petroleum-administrator-to-take-possession-of-and-operate-the-plants-and-facilities-of-the-humble-oil-an.txt","Harry_S_Truman/June 05, 1945__executive-order-9564authorizing-the-petroleum-administrator-to-take-possession-of-and-operate-the-plants-and-facilities-of-the-humble-oil-an.txt","train/democrat/Harry_S_Truman/June 05, 1945__executive-order-9564authorizing-the-petroleum-administrator-to-take-possession-of-and-operate-the-plants-and-facilities-of-the-humble-oil-an.txt",3934
train,democrat,Lyndon_B_Johnson,"June 24, 1968__executive-order-11415reconstituting-the-national-advisory-committee-on-the-selection-of-physicians-dentists-and-allied-specialists-and-the-h.txt","Lyndon_B_Johnson/June 24, 1968__executive-order-11415reconstituting-the-national-advisory-committee-on-the-selection-of-physicians-dentists-and-allied-specialists-and-the-h.txt","train/democrat/Lyndon_B_Johnson/June 24, 1968__executive-order-11415reconstituting-the-national-advisory-committee-on-the-selection-of-physicians-dentists-and-allied-specialists-and-the-h.txt",3669
train,democrat,Franklin_D_Roosevelt,"March 26, 1936__executive-order-7323creating-a-committee-to-complete-the-summary-of-the-results-and-accomplishments-of-the-national-recovery-administration-.txt","Franklin_D_Roosevelt/March 26, 1936__executive-order-7323creating-a-committee-to-complete-the-summary-of-the-results-and-accomplishments-of-the-national-recovery-administration-.txt","train/democrat/Franklin_D_Roosevelt/March 26, 1936__executive-order-7323creating-a-committee-to-complete-the-summary-of-the-results-and-accomplishments-of-the-national-recovery-administration-.txt",3452
train,democrat,Franklin_D_Roosevelt,"July 16, 1940__executive-order-8485authorizing-the-appointment-of-peres-d-ziegler-to-a-position-as-rural-letter-carrier-without-regard-to-the-requirements-.txt","Franklin_D_Roosevelt/July 16, 1940__executive-order-8485authorizing-the-appointment-of-peres-d-ziegler-to-a-position-as-rural-letter-carrier-without-regard-to-the-requirements-.txt","train/democrat/Franklin_D_Roosevelt/July 16, 1940__executive-order-8485authorizing-the-appointment-of-peres-d-ziegler-to-a-position-as-rural-letter-carrier-without-regard-to-the-requirements-.txt",504
train,democrat,Franklin_D_Roosevelt,"July 01, 1936__executive-order-7404amendment-of-subdivision-xi-schedule-b-civil-service-rules.txt","Franklin_D_Roosevelt/July 01, 1936__executive-order-7404amendment-of-subdivision-xi-schedule-b-civil-service-rules.txt","train/democrat/Franklin_D_Roosevelt/July 01, 1936__executive-order-7404amendment-of-subdivision-xi-schedule-b-civil-service-rules.txt",741
train,democrat,Harry_S_Truman,"July 08, 1947__executive-order-9870regulations-pertaining-to-the-granting-of-and-accounting-for-certain-foreign-service-allowances-and-allotments.txt","Harry_S_Truman/July 08, 1947__executive-order-9870regulations-pertaining-to-the-granting-of-and-accounting-for-certain-foreign-service-allowances-and-allotments.txt","train/democrat/Harry_S_Truman/July 08, 1947__executive-order-9870regulations-pertaining-to-the-granting-of-and-accounting-for-certain-foreign-service-allowances-and-allotments.txt",1898
train,democrat,Harry_S_Truman,"February 2, 1951__executive-order-10227extension-of-the-provisions-of-part-i-of-executive-order-no-10210-of-february-2-1951-to-the-general-services-administra.txt","Harry_S_Truman/February 2, 1951__executive-order-10227extension-of-the-provisions-of-part-i-of-executive-order-no-10210-of-february-2-1951-to-the-general-services-administra.txt","train/democrat/Harry_S_Truman/February 2, 1951__executive-order-10227extension-of-the-provisions-of-part-i-of-executive-order-no-10210-of-february-2-1951-to-the-general-services-administra.txt",1534
train,democrat,Franklin_D_Roosevelt,"June 18, 1941__executive-order-8797suspension-of-eight-hour-law-as-to-mechanics-and-laborers-employed-by-the-war-department-in-the-construction-of-public-w.txt","Franklin_D_Roosevelt/June 18, 1941__executive-order-8797suspension-of-eight-hour-law-as-to-mechanics-and-laborers-employed-by-the-war-department-in-the-construction-of-public-w.txt","train/democrat/Franklin_D_Roosevelt/June 18, 1941__executive-order-8797suspension-of-eight-hour-law-as-to-mechanics-and-laborers-employed-by-the-war-department-in-the-construction-of-public-w.txt",2077
train,democrat,Franklin_D_Roosevelt,"August 15, 1942__executive-order-9222authorizing-the-payment-of-monetary-allowances-in-lieu-of-transportation-in-kind-for-dependents-of-officers-warrant-offi.txt","Franklin_D_Roosevelt/August 15, 1942__executive-order-9222authorizing-the-payment-of-monetary-allowances-in-lieu-of-transportation-in-kind-for-dependents-of-officers-warrant-offi.txt","train/democrat/Franklin_D_Roosevelt/August 15, 1942__executive-order-9222authorizing-the-payment-of-monetary-allowances-in-lieu-of-transportation-in-kind-for-dependents-of-officers-warrant-offi.txt",1237
train,democrat,Franklin_D_Roosevelt,"February 08, 1936__executive-order-7286exemption-of-charles-holzman-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/February 08, 1936__executive-order-7286exemption-of-charles-holzman-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/February 08, 1936__executive-order-7286exemption-of-charles-holzman-from-compulsory-retirement-for-age.txt",1222
train,democrat,Franklin_D_Roosevelt,"October 28, 1939__executive-order-8279designation-of-the-director-of-the-bureau-of-mines-to-act-as-secretary-of-the-interior-or-as-under-secretary-first-assis.txt","Franklin_D_Roosevelt/October 28, 1939__executive-order-8279designation-of-the-director-of-the-bureau-of-mines-to-act-as-secretary-of-the-interior-or-as-under-secretary-first-assis.txt","train/democrat/Franklin_D_Roosevelt/October 28, 1939__executive-order-8279designation-of-the-director-of-the-bureau-of-mines-to-act-as-secretary-of-the-interior-or-as-under-secretary-first-assis.txt",897
train,democrat,Franklin_D_Roosevelt,"August 07, 1939__executive-order-8217exemption-of-george-middleton-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/August 07, 1939__executive-order-8217exemption-of-george-middleton-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/August 07, 1939__executive-order-8217exemption-of-george-middleton-from-compulsory-retirement-for-age.txt",657
train,democrat,Franklin_D_Roosevelt,"February 21, 1936__executive-order-8201amendment-of-executive-order-no-7302-of-february-21-1936-transferring-certain-lands-to-the-control-and-jurisdiction-of-t.txt","Franklin_D_Roosevelt/February 21, 1936__executive-order-8201amendment-of-executive-order-no-7302-of-february-21-1936-transferring-certain-lands-to-the-control-and-jurisdiction-of-t.txt","train/democrat/Franklin_D_Roosevelt/February 21, 1936__executive-order-8201amendment-of-executive-order-no-7302-of-february-21-1936-transferring-certain-lands-to-the-control-and-jurisdiction-of-t.txt",1589
train,democrat,Joseph_R_Biden_Jr,"January 20, 2021__executive-order-13992revocation-of-certain-executive-orders-concerning-federal-regulation.txt","Joseph_R_Biden_Jr/January 20, 2021__executive-order-13992revocation-of-certain-executive-orders-concerning-federal-regulation.txt","train/democrat/Joseph_R_Biden_Jr/January 20, 2021__executive-order-13992revocation-of-certain-executive-orders-concerning-federal-regulation.txt",3281
train,democrat,William_J_Clinton,"October 12, 1996__executive-order-13020amendment-to-executive-order-12981.txt","William_J_Clinton/October 12, 1996__executive-order-13020amendment-to-executive-order-12981.txt","train/democrat/William_J_Clinton/October 12, 1996__executive-order-13020amendment-to-executive-order-12981.txt",3536
train,democrat,John_F_Kennedy,"May 11, 1961__executive-order-10940establishing-the-presidents-committee-on-juvenile-delinquency-and-youth-crime.txt","John_F_Kennedy/May 11, 1961__executive-order-10940establishing-the-presidents-committee-on-juvenile-delinquency-and-youth-crime.txt","train/democrat/John_F_Kennedy/May 11, 1961__executive-order-10940establishing-the-presidents-committee-on-juvenile-delinquency-and-youth-crime.txt",3862
train,democrat,Franklin_D_Roosevelt,"September 21, 1939__executive-order-8258amending-paragraph-7-subdivision-i-schedule-a-of-the-civil-service-rules.txt","Franklin_D_Roosevelt/September 21, 1939__executive-order-8258amending-paragraph-7-subdivision-i-schedule-a-of-the-civil-service-rules.txt","train/democrat/Franklin_D_Roosevelt/September 21, 1939__executive-order-8258amending-paragraph-7-subdivision-i-schedule-a-of-the-civil-service-rules.txt",995
train,democrat,Jimmy_Carter,"June 30, 1980__executive-order-12223occupational-safety-and-health-programs-for-federal-employees.txt","Jimmy_Carter/June 30, 1980__executive-order-12223occupational-safety-and-health-programs-for-federal-employees.txt","train/democrat/Jimmy_Carter/June 30, 1980__executive-order-12223occupational-safety-and-health-programs-for-federal-employees.txt",790
train,democrat,Franklin_D_Roosevelt,"March 29, 1941__executive-order-8726exemption-of-harry-u-wagner-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/March 29, 1941__executive-order-8726exemption-of-harry-u-wagner-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/March 29, 1941__executive-order-8726exemption-of-harry-u-wagner-from-compulsory-retirement-for-age.txt",646
train,democrat,Franklin_D_Roosevelt,"August 11, 1934__executive-order-6821exemption-of-ingild-povelsen-from-compulsory-retirement-for-age.txt","Franklin_D_Roosevelt/August 11, 1934__executive-order-6821exemption-of-ingild-povelsen-from-compulsory-retirement-for-age.txt","train/democrat/Franklin_D_Roosevelt/August 11, 1934__executive-order-6821exemption-of-ingild-povelsen-from-compulsory-retirement-for-age.txt",1299
train,democrat,Franklin_D_Roosevelt,"April 16, 1943__executive-order-9330transfer-of-certain-central-administrative-services-of-the-office-for-emergency-management.txt","Franklin_D_Roosevelt/April 16, 1943__executive-order-9330transfer-of-certain-central-administrative-services-of-the-office-for-emergency-management.txt","train/democrat/Franklin_D_Roosevelt/April 16, 1943__executive-order-9330transfer-of-certain-central-administrative-services-of-the-office-for-emergency-management.txt",3301
train,democrat,Franklin_D_Roosevelt,"May 16, 1940__executive-order-8411withdrawal-of-public-land-for-the-use-of-the-alaska-road-commission.txt","Franklin_D_Roosevelt/May 16, 1940__executive-order-8411withdrawal-of-public-land-for-the-use-of-the-alaska-road-commission.txt","train/democrat/Franklin_D_Roosevelt/May 16, 1940__executive-order-8411withdrawal-of-public-land-for-the-use-of-the-alaska-road-commission.txt",1340
train,democrat,Franklin_D_Roosevelt,"June 19, 1934__executive-order-6744-bcode-of-fair-competition-for-the-cigar-manufacturing-industry.txt","Franklin_D_Roosevelt/June 19, 1934__executive-order-6744-bcode-of-fair-competition-for-the-cigar-manufacturing-industry.txt","train/democrat/Franklin_D_Roosevelt/June 19, 1934__executive-order-6744-bcode-of-fair-competition-for-the-cigar-manufacturing-industry.txt",2238
train,democrat,Joseph_R_Biden_Jr,"January 25, 2021__executive-order-14005ensuring-the-future-is-made-in-all-of-america-by-all-of-americas-workers.txt","Joseph_R_Biden_Jr/January 25, 2021__executive-order-14005ensuring-the-future-is-made-in-all-of-america-by-all-of-americas-workers.txt","train/democrat/Joseph_R_Biden_Jr/January 25, 2021__executive-order-14005ensuring-the-future-is-made-in-all-of-america-by-all-of-americas-workers.txt",14684
train,democrat,Barack_Obama,"July 20, 2012__executive-order-13620taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia.txt","Barack_Obama/July 20, 2012__executive-order-13620taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia.txt","train/democrat/Barack_Obama/July 20, 2012__executive-order-13620taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia.txt",2383
train,democrat,Harry_S_Truman,"June 17, 1952__executive-order-10363amending-the-selective-service-regulations.txt","Harry_S_Truman/June 17, 1952__executive-order-10363amending-the-selective-service-regulations.txt","train/democrat/Harry_S_Truman/June 17, 1952__executive-order-10363amending-the-selective-service-regulations.txt",8896
train,democrat,Jimmy_Carter,"December 18, 1980__executive-order-12257civil-service-status-for-ceta-participants.txt","Jimmy_Carter/December 18, 1980__executive-order-12257civil-service-status-for-ceta-participants.txt","train/democrat/Jimmy_Carter/December 18, 1980__executive-order-12257civil-service-status-for-ceta-participants.txt",2258
train,democrat,Lyndon_B_Johnson,"January 03, 1964__executive-order-11136establishing-the-presidents-committee-on-consumer-interests-and-the-consumer-advisory-council.txt","Lyndon_B_Johnson/January 03, 1964__executive-order-11136establishing-the-presidents-committee-on-consumer-interests-and-the-consumer-advisory-council.txt","train/democrat/Lyndon_B_Johnson/January 03, 1964__executive-order-11136establishing-the-presidents-committee-on-consumer-interests-and-the-consumer-advisory-council.txt",5318
train,democrat,Harry_S_Truman,"June 05, 1945__executive-order-9565authorizing-the-petroleum-administrator-to-take-possession-of-and-operate-the-plants-and-facilities-at-the-cabin-creek-o.txt","Harry_S_Truman/June 05, 1945__executive-order-9565authorizing-the-petroleum-administrator-to-take-possession-of-and-operate-the-plants-and-facilities-at-the-cabin-creek-o.txt","train/democrat/Harry_S_Truman/June 05, 1945__executive-order-9565authorizing-the-petroleum-administrator-to-take-possession-of-and-operate-the-plants-and-facilities-at-the-cabin-creek-o.txt",4045
train,democrat,Jimmy_Carter,"January 19, 1981__executive-order-12286responses-to-environmental-damage.txt","Jimmy_Carter/January 19, 1981__executive-order-12286responses-to-environmental-damage.txt","train/democrat/Jimmy_Carter/January 19, 1981__executive-order-12286responses-to-environmental-damage.txt",14756
